Employee,Employee_Name,Is_Guest,Date,Status,Location,Day,,
2020,BraydenScott,,24-11-2023,WFH,Bangalore,Friday,,
2221,Casey Reed,,24-11-2023,WFO,Bangalore,Friday,,
1781,TheodoreSanchez,,24-11-2023,WFO,Bangalore,Friday,,
1947,SkylarBryant,,24-11-2023,WFO,Bangalore,Friday,,
2005,MilaRodriguez,,24-11-2023,WFH,Bangalore,Friday,,
1234,Sidney Foster,1,24-11-2023,WFH,Bangalore,Friday,,
1941,EvelynHall,,27-11-2023,WFO,Bangalore,Monday,,
1953,HarperMurphy,,27-11-2023,WFO,Bangalore,Monday,,
1973,EmmaBishop,,27-11-2023,WFH,Bangalore,Monday,,
2214,Shawn Peterson,,27-11-2023,WFH,Bangalore,Monday,,
1957,EverlyMartin,,27-11-2023,WFO,Bangalore,Monday,,
2018,LaylaCameron,,27-11-2023,WFH,Bangalore,Monday,,
2017,AlexanderShaw,,27-11-2023,WFO,Bangalore,Monday,,
2222,Alex Perry,,27-11-2023,WFH,Bangalore,Monday,,
1234,Sidney Foster,1,27-11-2023,WFO,Bangalore,Monday,,
1247,PhoebePerry,,27-11-2023,WFO,Bangalore,Monday,,
2005,MilaRodriguez,,27-11-2023,WFO,Bangalore,Monday,,
1981,MayaWhite,,27-11-2023,WFO,Bangalore,Monday,,
2221,Casey Reed,,27-11-2023,WFO,Bangalore,Monday,,
2002,LeahGeorge,,27-11-2023,WFH,Bangalore,Monday,,
2224,Blake Allen,,27-11-2023,WFO,Bangalore,Monday,,
2022,ScarlettKing,,27-11-2023,WFO,Bangalore,Monday,,
1946,SiennaFoster,,27-11-2023,WFH,Bangalore,Monday,,
2218,Jesse Morgan,,27-11-2023,WFH,Bangalore,Monday,,
2020,BraydenScott,,27-11-2023,WFH,Bangalore,Monday,,
2006,LeviHudson,,27-11-2023,WFO,Bangalore,Monday,,
2012,DavidRodriguez,,27-11-2023,WFO,Bangalore,Monday,,
1947,SkylarBryant,,27-11-2023,WFH,Bangalore,Monday,,
1781,TheodoreSanchez,,27-11-2023,WFH,Bangalore,Monday,,
2213,Elliot Powell,,27-11-2023,WFH,Bangalore,Monday,,
1946,SiennaFoster,,28-11-2023,WFH,Bangalore,Tuesday,,
2218,Jesse Morgan,,28-11-2023,WFH,Bangalore,Tuesday,,
2213,Elliot Powell,,28-11-2023,WFH,Bangalore,Tuesday,,
2006,LeviHudson,,28-11-2023,WFO,Bangalore,Tuesday,,
2012,DavidRodriguez,,28-11-2023,WFO,Bangalore,Tuesday,,
1981,MayaWhite,,28-11-2023,WFH,Bangalore,Tuesday,,
1947,SkylarBryant,,28-11-2023,WFH,Bangalore,Tuesday,,
1781,TheodoreSanchez,,28-11-2023,WFH,Bangalore,Tuesday,,
2221,Casey Reed,,28-11-2023,WFO,Bangalore,Tuesday,,
2022,ScarlettKing,,28-11-2023,WFO,Bangalore,Tuesday,,
2224,Blake Allen,,28-11-2023,WFO,Bangalore,Tuesday,,
1957,EverlyMartin,,28-11-2023,WFO,Bangalore,Tuesday,,
2020,BraydenScott,,28-11-2023,WFO,Bangalore,Tuesday,,
2017,AlexanderShaw,,28-11-2023,WFO,Bangalore,Tuesday,,
2018,LaylaCameron,,28-11-2023,WFO,Bangalore,Tuesday,,
1247,PhoebePerry,,28-11-2023,WFO,Bangalore,Tuesday,,
2214,Shawn Peterson,,28-11-2023,WFH,Bangalore,Tuesday,,
1234,Sidney Foster,1,28-11-2023,WFO,Bangalore,Tuesday,,
1941,EvelynHall,,28-11-2023,WFO,Bangalore,Tuesday,,
1953,HarperMurphy,,28-11-2023,WFO,Bangalore,Tuesday,,
2222,Alex Perry,,28-11-2023,WFH,Bangalore,Tuesday,,
2005,MilaRodriguez,,28-11-2023,WFH,Bangalore,Tuesday,,
2002,LeahGeorge,,28-11-2023,WFH,Bangalore,Tuesday,,
1973,EmmaBishop,,28-11-2023,WFH,Bangalore,Tuesday,,
2222,Alex Perry,,29-11-2023,WFH,Bangalore,Wednesday,,
1953,HarperMurphy,,29-11-2023,WFO,Bangalore,Wednesday,,
1941,EvelynHall,,29-11-2023,WFH,Bangalore,Wednesday,,
1973,EmmaBishop,,29-11-2023,WFH,Bangalore,Wednesday,,
2018,LaylaCameron,,29-11-2023,WFO,Bangalore,Wednesday,,
1247,PhoebePerry,,29-11-2023,WFO,Bangalore,Wednesday,,
2017,AlexanderShaw,,29-11-2023,WFH,Bangalore,Wednesday,,
1234,Sidney Foster,1,29-11-2023,WFO,Bangalore,Wednesday,,
2005,MilaRodriguez,,29-11-2023,WFO,Bangalore,Wednesday,,
2214,Shawn Peterson,,29-11-2023,WFO,Bangalore,Wednesday,,
2002,LeahGeorge,,29-11-2023,WFO,Bangalore,Wednesday,,
2006,LeviHudson,,29-11-2023,WFO,Bangalore,Wednesday,,
2224,Blake Allen,,29-11-2023,WFO,Bangalore,Wednesday,,
2020,BraydenScott,,29-11-2023,WFO,Bangalore,Wednesday,,
2221,Casey Reed,,29-11-2023,WFH,Bangalore,Wednesday,,
1781,TheodoreSanchez,,29-11-2023,WFH,Bangalore,Wednesday,,
1947,SkylarBryant,,29-11-2023,WFO,Bangalore,Wednesday,,
1981,MayaWhite,,29-11-2023,WFO,Bangalore,Wednesday,,
2012,DavidRodriguez,,29-11-2023,WFO,Bangalore,Wednesday,,
2213,Elliot Powell,,29-11-2023,WFH,Bangalore,Wednesday,,
2218,Jesse Morgan,,29-11-2023,WFO,Bangalore,Wednesday,,
1946,SiennaFoster,,29-11-2023,WFO,Bangalore,Wednesday,,
2022,ScarlettKing,,29-11-2023,WFO,Bangalore,Wednesday,,
1957,EverlyMartin,,29-11-2023,WFH,Bangalore,Wednesday,,
2005,MilaRodriguez,,30-11-2023,WFH,Bangalore,Thursday,,
2222,Alex Perry,,30-11-2023,WFH,Bangalore,Thursday,,
1953,HarperMurphy,,30-11-2023,WFO,Bangalore,Thursday,,
1941,EvelynHall,,30-11-2023,WFH,Bangalore,Thursday,,
2017,AlexanderShaw,,30-11-2023,WFO,Bangalore,Thursday,,
1247,PhoebePerry,,30-11-2023,WFO,Bangalore,Thursday,,
2018,LaylaCameron,,30-11-2023,WFO,Bangalore,Thursday,,
2002,LeahGeorge,,30-11-2023,WFO,Bangalore,Thursday,,
1234,Sidney Foster,1,30-11-2023,WFO,Bangalore,Thursday,,
2214,Shawn Peterson,,30-11-2023,WFO,Bangalore,Thursday,,
1957,EverlyMartin,,30-11-2023,WFO,Bangalore,Thursday,,
1973,EmmaBishop,,30-11-2023,WFH,Bangalore,Thursday,,
2020,BraydenScott,,30-11-2023,WFO,Bangalore,Thursday,,
2224,Blake Allen,,30-11-2023,WFO,Bangalore,Thursday,,
2022,ScarlettKing,,30-11-2023,WFO,Bangalore,Thursday,,
1946,SiennaFoster,,30-11-2023,WFH,Bangalore,Thursday,,
2218,Jesse Morgan,,30-11-2023,WFO,Bangalore,Thursday,,
2213,Elliot Powell,,30-11-2023,WFH,Bangalore,Thursday,,
1981,MayaWhite,,30-11-2023,WFO,Bangalore,Thursday,,
2012,DavidRodriguez,,30-11-2023,WFO,Bangalore,Thursday,,
1947,SkylarBryant,,30-11-2023,WFO,Bangalore,Thursday,,
1781,TheodoreSanchez,,30-11-2023,WFH,Bangalore,Thursday,,
2221,Casey Reed,,30-11-2023,WFH,Bangalore,Thursday,,
2006,LeviHudson,,30-11-2023,WFO,Bangalore,Thursday,,
2218,Jesse Morgan,,01-12-2023,WFH,Bangalore,Friday,,
2213,Elliot Powell,,01-12-2023,WFH,Bangalore,Friday,,
2006,LeviHudson,,01-12-2023,WFH,Bangalore,Friday,,
2012,DavidRodriguez,,01-12-2023,WFO,Bangalore,Friday,,
1981,MayaWhite,,01-12-2023,WFH,Bangalore,Friday,,
1947,SkylarBryant,,01-12-2023,WFO,Bangalore,Friday,,
1781,TheodoreSanchez,,01-12-2023,WFH,Bangalore,Friday,,
2221,Casey Reed,,01-12-2023,OL,Bangalore,Friday,,
2020,BraydenScott,,01-12-2023,WFH,Bangalore,Friday,,
2224,Blake Allen,,01-12-2023,WFO,Bangalore,Friday,,
1957,EverlyMartin,,01-12-2023,WFO,Bangalore,Friday,,
2005,MilaRodriguez,,01-12-2023,WFO,Bangalore,Friday,,
2222,Alex Perry,,01-12-2023,CO,Bangalore,Friday,,
1953,HarperMurphy,,01-12-2023,WFO,Bangalore,Friday,,
1941,EvelynHall,,01-12-2023,WFH,Bangalore,Friday,,
2214,Shawn Peterson,,01-12-2023,WFH,Bangalore,Friday,,
2024,PhoebePerry,,01-12-2023,WFO,Bangalore,Friday,,
2018,LaylaCameron,,01-12-2023,WFH,Bangalore,Friday,,
2017,AlexanderShaw,,01-12-2023,WFH,Bangalore,Friday,,
2018,Dakota Sanders,1,01-12-2023,WFH,Bangalore,Friday,,
2019,DerekStephens,1,01-12-2023,WFH,Bangalore,Friday,,
1946,SiennaFoster,,01-12-2023,WFH,Bangalore,Friday,,
2002,LeahGeorge,,01-12-2023,WFH,Bangalore,Friday,,
1973,EmmaBishop,,01-12-2023,WFH,Bangalore,Friday,,
2022,ScarlettKing,,01-12-2023,WFO,Bangalore,Friday,,
1941,EvelynHall,,04-12-2023,WFH,Bangalore,Monday,,
2019,DerekStephens,1,04-12-2023,WFH,Bangalore,Monday,,
2018,Dakota Sanders,1,04-12-2023,WFH,Bangalore,Monday,,
2017,AlexanderShaw,,04-12-2023,CO,Bangalore,Monday,,
2018,LaylaCameron,,04-12-2023,WFO,Bangalore,Monday,,
2024,PhoebePerry,,04-12-2023,WFO,Bangalore,Monday,,
2214,Shawn Peterson,,04-12-2023,WFH,Bangalore,Monday,,
1973,EmmaBishop,,04-12-2023,WFH,Bangalore,Monday,,
1953,HarperMurphy,,04-12-2023,WFO,Bangalore,Monday,,
2222,Alex Perry,,04-12-2023,CO,Bangalore,Monday,,
2005,MilaRodriguez,,04-12-2023,WFO,Bangalore,Monday,,
1957,EverlyMartin,,04-12-2023,WFO,Bangalore,Monday,,
2002,LeahGeorge,,04-12-2023,WFH,Bangalore,Monday,,
2020,BraydenScott,,04-12-2023,WFH,Bangalore,Monday,,
2022,ScarlettKing,,04-12-2023,WFH,Bangalore,Monday,,
1946,SiennaFoster,,04-12-2023,WFH,Bangalore,Monday,,
2218,Jesse Morgan,,04-12-2023,WFO,Bangalore,Monday,,
2213,Elliot Powell,,04-12-2023,WFO,Bangalore,Monday,,
2224,Blake Allen,,04-12-2023,WFO,Bangalore,Monday,,
2012,DavidRodriguez,,04-12-2023,WFO,Bangalore,Monday,,
2006,LeviHudson,,04-12-2023,WFH,Bangalore,Monday,,
1947,SkylarBryant,,04-12-2023,WFH,Bangalore,Monday,,
1781,TheodoreSanchez,,04-12-2023,WFH,Bangalore,Monday,,
2221,Casey Reed,,04-12-2023,OL,Bangalore,Monday,,
1981,MayaWhite,,04-12-2023,WFH,Bangalore,Monday,,
2005,MilaRodriguez,,05-12-2023,WFH,Bangalore,Tuesday,,
1973,EmmaBishop,,05-12-2023,WFH,Bangalore,Tuesday,,
2222,Alex Perry,,05-12-2023,CO,Bangalore,Tuesday,,
1941,EvelynHall,,05-12-2023,WFH,Bangalore,Tuesday,,
2214,Shawn Peterson,,05-12-2023,WFH,Bangalore,Tuesday,,
2018,Dakota Sanders,1,05-12-2023,WFH,Bangalore,Tuesday,,
2018,LaylaCameron,,05-12-2023,WFH,Bangalore,Tuesday,,
2017,AlexanderShaw,,05-12-2023,CO,Bangalore,Tuesday,,
2019,DerekStephens,1,05-12-2023,WFH,Bangalore,Tuesday,,
2002,LeahGeorge,,05-12-2023,WFH,Bangalore,Tuesday,,
2024,PhoebePerry,,05-12-2023,WFO,Bangalore,Tuesday,,
1957,EverlyMartin,,05-12-2023,WFO,Bangalore,Tuesday,,
1953,HarperMurphy,,05-12-2023,WFO,Bangalore,Tuesday,,
2020,BraydenScott,,05-12-2023,WFH,Bangalore,Tuesday,,
2224,Blake Allen,,05-12-2023,WFO,Bangalore,Tuesday,,
1946,SiennaFoster,,05-12-2023,WFH,Bangalore,Tuesday,,
2218,Jesse Morgan,,05-12-2023,OL,Bangalore,Tuesday,,
2213,Elliot Powell,,05-12-2023,WFH,Bangalore,Tuesday,,
2006,LeviHudson,,05-12-2023,WFO,Bangalore,Tuesday,,
2022,ScarlettKing,,05-12-2023,WFH,Bangalore,Tuesday,,
1981,MayaWhite,,05-12-2023,WFH,Bangalore,Tuesday,,
1947,SkylarBryant,,05-12-2023,WFO,Bangalore,Tuesday,,
1781,TheodoreSanchez,,05-12-2023,WFH,Bangalore,Tuesday,,
2221,Casey Reed,,05-12-2023,OL,Bangalore,Tuesday,,
2012,DavidRodriguez,,05-12-2023,WFO,Bangalore,Tuesday,,
2002,LeahGeorge,,06-12-2023,WFH,Bangalore,Wednesday,,
2005,MilaRodriguez,,06-12-2023,CO,Bangalore,Wednesday,,
2222,Alex Perry,,06-12-2023,CO,Bangalore,Wednesday,,
1953,HarperMurphy,,06-12-2023,WFO,Bangalore,Wednesday,,
1941,EvelynHall,,06-12-2023,WFH,Bangalore,Wednesday,,
2024,PhoebePerry,,06-12-2023,WFO,Bangalore,Wednesday,,
2214,Shawn Peterson,,06-12-2023,WFO,Bangalore,Wednesday,,
2018,LaylaCameron,,06-12-2023,WFO,Bangalore,Wednesday,,
2017,AlexanderShaw,,06-12-2023,CO,Bangalore,Wednesday,,
2018,Dakota Sanders,1,06-12-2023,WFH,Bangalore,Wednesday,,
2019,DerekStephens,1,06-12-2023,WFH,Bangalore,Wednesday,,
1973,EmmaBishop,,06-12-2023,WFO,Bangalore,Wednesday,,
1957,EverlyMartin,,06-12-2023,WFO,Bangalore,Wednesday,,
2020,BraydenScott,,06-12-2023,WFH,Bangalore,Wednesday,,
2221,Casey Reed,,06-12-2023,WFH,Bangalore,Wednesday,,
1781,TheodoreSanchez,,06-12-2023,CO,Bangalore,Wednesday,,
1947,SkylarBryant,,06-12-2023,WFO,Bangalore,Wednesday,,
1981,MayaWhite,,06-12-2023,WFH,Bangalore,Wednesday,,
2012,DavidRodriguez,,06-12-2023,WFO,Bangalore,Wednesday,,
2006,LeviHudson,,06-12-2023,WFO,Bangalore,Wednesday,,
2213,Elliot Powell,,06-12-2023,WFH,Bangalore,Wednesday,,
2218,Jesse Morgan,,06-12-2023,OL,Bangalore,Wednesday,,
1946,SiennaFoster,,06-12-2023,WFH,Bangalore,Wednesday,,
2022,ScarlettKing,,06-12-2023,WFO,Bangalore,Wednesday,,
2224,Blake Allen,,06-12-2023,WFO,Bangalore,Wednesday,,
2005,MilaRodriguez,,07-12-2023,WFO,Bangalore,Thursday,,
2222,Alex Perry,,07-12-2023,CO,Bangalore,Thursday,,
1953,HarperMurphy,,07-12-2023,WFH,Bangalore,Thursday,,
1941,EvelynHall,,07-12-2023,WFH,Bangalore,Thursday,,
2017,AlexanderShaw,,07-12-2023,CO,Bangalore,Thursday,,
2214,Shawn Peterson,,07-12-2023,WFO,Bangalore,Thursday,,
2024,PhoebePerry,,07-12-2023,WFO,Bangalore,Thursday,,
2018,LaylaCameron,,07-12-2023,WFH,Bangalore,Thursday,,
2002,LeahGeorge,,07-12-2023,WFO,Bangalore,Thursday,,
1973,EmmaBishop,,07-12-2023,WFO,Bangalore,Thursday,,
2224,Blake Allen,,07-12-2023,WFO,Bangalore,Thursday,,
1957,EverlyMartin,,07-12-2023,WFO,Bangalore,Thursday,,
2221,Casey Reed,,07-12-2023,WFH,Bangalore,Thursday,,
1781,TheodoreSanchez,,07-12-2023,WFH,Bangalore,Thursday,,
1947,SkylarBryant,,07-12-2023,WFO,Bangalore,Thursday,,
1981,MayaWhite,,07-12-2023,WFO,Bangalore,Thursday,,
2012,DavidRodriguez,,07-12-2023,WFO,Bangalore,Thursday,,
2006,LeviHudson,,07-12-2023,WFO,Bangalore,Thursday,,
2213,Elliot Powell,,07-12-2023,WFH,Bangalore,Thursday,,
2218,Jesse Morgan,,07-12-2023,WFO,Bangalore,Thursday,,
1946,SiennaFoster,,07-12-2023,WFH,Bangalore,Thursday,,
2022,ScarlettKing,,07-12-2023,WFH,Bangalore,Thursday,,
2018,Dakota Sanders,1,07-12-2023,WFH,Bangalore,Thursday,,
2020,BraydenScott,,07-12-2023,WFH,Bangalore,Thursday,,
2019,DerekStephens,1,07-12-2023,WFH,Bangalore,Thursday,,
2005,MilaRodriguez,,08-12-2023,WFO,Bangalore,Friday,,
1946,SiennaFoster,,08-12-2023,WFH,Bangalore,Friday,,
2022,ScarlettKing,,08-12-2023,WFO,Bangalore,Friday,,
2019,DerekStephens,1,08-12-2023,WFH,Bangalore,Friday,,
2018,Dakota Sanders,1,08-12-2023,WFH,Bangalore,Friday,,
2017,AlexanderShaw,,08-12-2023,CO,Bangalore,Friday,,
2018,LaylaCameron,,08-12-2023,WFH,Bangalore,Friday,,
2024,PhoebePerry,,08-12-2023,WFO,Bangalore,Friday,,
2214,Shawn Peterson,,08-12-2023,WFO,Bangalore,Friday,,
1973,EmmaBishop,,08-12-2023,WFO,Bangalore,Friday,,
1953,HarperMurphy,,08-12-2023,OL,Bangalore,Friday,,
2222,Alex Perry,,08-12-2023,CO,Bangalore,Friday,,
2002,LeahGeorge,,08-12-2023,WFO,Bangalore,Friday,,
1941,EvelynHall,,08-12-2023,WFH,Bangalore,Friday,,
2224,Blake Allen,,08-12-2023,WFO,Bangalore,Friday,,
2218,Jesse Morgan,,08-12-2023,WFO,Bangalore,Friday,,
1957,EverlyMartin,,08-12-2023,WFH,Bangalore,Friday,,
2006,LeviHudson,,08-12-2023,WFH,Bangalore,Friday,,
2012,DavidRodriguez,,08-12-2023,WFO,Bangalore,Friday,,
1981,MayaWhite,,08-12-2023,WFO,Bangalore,Friday,,
1947,SkylarBryant,,08-12-2023,WFO,Bangalore,Friday,,
2213,Elliot Powell,,08-12-2023,WFH,Bangalore,Friday,,
2221,Casey Reed,,08-12-2023,WFH,Bangalore,Friday,,
2020,BraydenScott,,08-12-2023,WFH,Bangalore,Friday,,
1781,TheodoreSanchez,,08-12-2023,WFH,Bangalore,Friday,,
1957,EverlyMartin,,11-12-2023,WFO,Bangalore,Monday,,
1941,EvelynHall,,11-12-2023,WFH,Bangalore,Monday,,
2214,Shawn Peterson,,11-12-2023,WFH,Bangalore,Monday,,
2024,PhoebePerry,,11-12-2023,WFO,Bangalore,Monday,,
2018,LaylaCameron,,11-12-2023,WFH,Bangalore,Monday,,
2017,AlexanderShaw,,11-12-2023,CO,Bangalore,Monday,,
2018,Dakota Sanders,1,11-12-2023,WFH,Bangalore,Monday,,
2019,DerekStephens,1,11-12-2023,WFH,Bangalore,Monday,,
1973,EmmaBishop,,11-12-2023,WFH,Bangalore,Monday,,
2005,MilaRodriguez,,11-12-2023,WFO,Bangalore,Monday,,
2002,LeahGeorge,,11-12-2023,WFH,Bangalore,Monday,,
2224,Blake Allen,,11-12-2023,WFO,Bangalore,Monday,,
1953,HarperMurphy,,11-12-2023,WFH,Bangalore,Monday,,
2221,Casey Reed,,11-12-2023,WFO,Bangalore,Monday,,
1981,MayaWhite,,11-12-2023,WFH,Bangalore,Monday,,
2006,LeviHudson,,11-12-2023,WFH,Bangalore,Monday,,
2213,Elliot Powell,,11-12-2023,WFH,Bangalore,Monday,,
2218,Jesse Morgan,,11-12-2023,WFH,Bangalore,Monday,,
2012,DavidRodriguez,,11-12-2023,WFH,Bangalore,Monday,,
2022,ScarlettKing,,11-12-2023,WFH,Bangalore,Monday,,
2222,Alex Perry,,11-12-2023,CO,Bangalore,Monday,,
1947,SkylarBryant,,11-12-2023,WFH,Bangalore,Monday,,
1781,TheodoreSanchez,,11-12-2023,WFH,Bangalore,Monday,,
1946,SiennaFoster,,11-12-2023,WFH,Bangalore,Monday,,
2020,BraydenScott,,11-12-2023,WFH,Bangalore,Monday,,
2224,Blake Allen,,12-12-2023,WFO,Bangalore,Tuesday,,
1973,EmmaBishop,,12-12-2023,WFO,Bangalore,Tuesday,,
1941,EvelynHall,,12-12-2023,WFO,Bangalore,Tuesday,,
1953,HarperMurphy,,12-12-2023,WFO,Bangalore,Tuesday,,
2222,Alex Perry,,12-12-2023,CO,Bangalore,Tuesday,,
2005,MilaRodriguez,,12-12-2023,WFH,Bangalore,Tuesday,,
2002,LeahGeorge,,12-12-2023,WFH,Bangalore,Tuesday,,
1957,EverlyMartin,,12-12-2023,WFO,Bangalore,Tuesday,,
2012,DavidRodriguez,,12-12-2023,WFO,Bangalore,Tuesday,,
1781,TheodoreSanchez,,12-12-2023,WFH,Bangalore,Tuesday,,
1947,SkylarBryant,,12-12-2023,WFH,Bangalore,Tuesday,,
1981,MayaWhite,,12-12-2023,WFO,Bangalore,Tuesday,,
2214,Shawn Peterson,,12-12-2023,WFH,Bangalore,Tuesday,,
2006,LeviHudson,,12-12-2023,WFH,Bangalore,Tuesday,,
2213,Elliot Powell,,12-12-2023,WFH,Bangalore,Tuesday,,
2218,Jesse Morgan,,12-12-2023,WFO,Bangalore,Tuesday,,
1946,SiennaFoster,,12-12-2023,WFH,Bangalore,Tuesday,,
2022,ScarlettKing,,12-12-2023,WFO,Bangalore,Tuesday,,
2221,Casey Reed,,12-12-2023,WFO,Bangalore,Tuesday,,
2024,PhoebePerry,,12-12-2023,WFO,Bangalore,Tuesday,,
2020,BraydenScott,,12-12-2023,WFH,Bangalore,Tuesday,,
2017,AlexanderShaw,,12-12-2023,CO,Bangalore,Tuesday,,
2018,Dakota Sanders,1,12-12-2023,WFH,Bangalore,Tuesday,,
2019,DerekStephens,1,12-12-2023,WFH,Bangalore,Tuesday,,
2018,LaylaCameron,,12-12-2023,WFO,Bangalore,Tuesday,,
2019,DerekStephens,1,13-12-2023,WFH,Bangalore,Wednesday,,
2018,Dakota Sanders,1,13-12-2023,WFO,Bangalore,Wednesday,,
2017,AlexanderShaw,,13-12-2023,CO,Bangalore,Wednesday,,
2018,LaylaCameron,,13-12-2023,WFO,Bangalore,Wednesday,,
2024,PhoebePerry,,13-12-2023,WFO,Bangalore,Wednesday,,
2214,Shawn Peterson,,13-12-2023,WFO,Bangalore,Wednesday,,
1973,EmmaBishop,,13-12-2023,WFO,Bangalore,Wednesday,,
1941,EvelynHall,,13-12-2023,WFH,Bangalore,Wednesday,,
1953,HarperMurphy,,13-12-2023,WFO,Bangalore,Wednesday,,
2222,Alex Perry,,13-12-2023,CO,Bangalore,Wednesday,,
2005,MilaRodriguez,,13-12-2023,CO,Bangalore,Wednesday,,
2213,Elliot Powell,,13-12-2023,WFH,Bangalore,Wednesday,,
1957,EverlyMartin,,13-12-2023,WFO,Bangalore,Wednesday,,
2002,LeahGeorge,,13-12-2023,WFO,Bangalore,Wednesday,,
1946,SiennaFoster,,13-12-2023,WFH,Bangalore,Wednesday,,
2218,Jesse Morgan,,13-12-2023,WFO,Bangalore,Wednesday,,
2006,LeviHudson,,13-12-2023,WFH,Bangalore,Wednesday,,
2012,DavidRodriguez,,13-12-2023,WFH,Bangalore,Wednesday,,
