Employee,First Name,Last Name,Is_Guest,Date,Status,Location,Day
1919,Carson,Ramirez,,2024-10-15,WFH,Chennai,Tuesday
1916,Chloe,Chavez,,2024-10-15,WFH,Chennai,Tuesday
1958,Graham,Davis,,2024-10-15,WFH,Chennai,Tuesday
2003,Eden,Thomas,,2024-10-15,WFH,Chennai,Tuesday
2043,Hannah,Hill,,2024-10-15,WFH,Chennai,Tuesday
2184,Walker,Gonzalez,,2024-10-15,WFH,Chennai,Tuesday
2041,Luna,Curtis,,2024-10-15,WFH,Chennai,Tuesday
2040,Ariana,Anderson,,2024-10-15,WFH,Chennai,Tuesday
2186,Dylan,Allen,,2024-10-15,WFH,Chennai,Tuesday
2038,Mack,Robinson,,2024-10-15,WFH,Chennai,Tuesday
2037,Reagan,Taylor,,2024-10-15,WFH,Chennai,Tuesday
2008,Raegan,Smith,,2024-10-15,WFH,Chennai,Tuesday
2032,Vera,Gonzalez,,2024-10-15,WFH,Chennai,Tuesday
2031,Eden,Anderson,,2024-10-15,WFH,Chennai,Tuesday
2034,Nash,Hawkins,,2024-10-15,WFH,Chennai,Tuesday
2029,Ellie,Grant,,2024-10-15,WFH,Chennai,Tuesday
2025,Alexander,Bishop,,2024-10-15,WFH,Chennai,Tuesday
2023,Stella,Anderson,,2024-10-15,WFH,Chennai,Tuesday
2021,Charlotte,Harrison,,2024-10-15,WFH,Chennai,Tuesday
2019,Felicity,Carter,,2024-10-15,WFH,Chennai,Tuesday
2016,Vivian,Long,,2024-10-15,WFH,Chennai,Tuesday
2014,Ryan,Duncan,,2024-10-15,WFH,Chennai,Tuesday
2011,Sage,Gibson,,2024-10-15,WFH,Chennai,Tuesday
2185,Marez,Lily,,2024-10-15,WFH,Chennai,Tuesday
2068,Charlie,Russell,,2024-10-16,WFH,Chennai,Wednesday
2067,Zoey,Grant,,2024-10-16,WFO,Chennai,Wednesday
2193,Paisley,Carter,,2024-10-16,WFH,Chennai,Wednesday
2064,Alana,Morris,,2024-10-16,WFH,Chennai,Wednesday
2062,Brooklyn,Howard,,2024-10-16,WFH,Chennai,Wednesday
2055,Aiden,Douglas,,2024-10-16,WFH,Chennai,Wednesday
2054,Quinn,Perry,,2024-10-16,WFH,Chennai,Wednesday
2045,Adam,Douglas,,2024-10-16,WFH,Chennai,Wednesday
2052,Daniel,Murphy,,2024-10-16,WFH,Chennai,Wednesday
2051,Leo,Henderson,,2024-10-16,WFH,Chennai,Wednesday
2050,Aidan,Scott,,2024-10-16,WFH,Chennai,Wednesday
2049,Finn,Harrison,,2024-10-16,WFH,Chennai,Wednesday
2048,Eden,Allen,,2024-10-16,WFH,Chennai,Wednesday
2187,Eden,Chang,,2024-10-16,WFH,Chennai,Wednesday
2046,Gavin,Moore,,2024-10-16,WFH,Chennai,Wednesday
2070,Isaac,Alexander,,2024-10-16,WFH,Chennai,Wednesday
2188,Cole,Gabriel,,2024-10-16,WFH,Chennai,Wednesday
2071,Elise,Nelson,,2024-10-16,WFH,Chennai,Wednesday
2081,Riley,Gordon,,2024-10-16,WFH,Chennai,Wednesday
2075,Felicity,Jackson,,2024-10-16,WFH,Chennai,Wednesday
2044,Chloe,Moore,,2024-10-16,WFH,Chennai,Wednesday
2190,Chang,Will,,2024-10-16,WFO,Chennai,Wednesday
2197,Parker,Russell,,2024-10-16,WFO,Chennai,Wednesday
2088,Knox,Moore,,2024-10-16,WFH,Chennai,Wednesday
2086,Sebastian,Nelson,,2024-10-16,WFH,Chennai,Wednesday
2095,Luna,Gray,,2024-10-16,WFH,Chennai,Wednesday
2189,Maya,Maya,,2024-10-16,WFH,Chennai,Wednesday
2084,Maya,Rodriguez,,2024-10-16,WFH,Chennai,Wednesday
2083,Levi,Warren,,2024-10-16,WFH,Chennai,Wednesday
2082,Maya,Evans,,2024-10-16,WFH,Chennai,Wednesday
2080,Matthew,Jackson,,2024-10-16,WFH,Chennai,Wednesday
2079,Jack,Sanchez,,2024-10-16,WFH,Chennai,Wednesday
2078,Emery,Moss,,2024-10-16,WFH,Chennai,Wednesday
2077,Violet,Rogers,,2024-10-16,WFH,Chennai,Wednesday
2199,Reese,Kelly,,2024-10-16,WFH,Chennai,Wednesday
2091,Owen,Powell,,2024-10-16,WFH,Chennai,Wednesday
2076,Aidan,Williams,,2024-10-16,WFH,Chennai,Wednesday
2074,Lydia,Grant,,2024-10-16,WFH,Chennai,Wednesday
2198,Taylor,Brooks,,2024-10-16,WFH,Chennai,Wednesday
2043,Hannah,Hill,,2024-10-16,WFH,Chennai,Wednesday
2041,Luna,Curtis,,2024-10-16,WFH,Chennai,Wednesday
1993,Leo,Cole,,2024-10-16,WFO,Chennai,Wednesday
1991,Vera,Rodriguez,,2024-10-16,WFH,Chennai,Wednesday
1990,Cameron,Allen,,2024-10-16,WFH,Chennai,Wednesday
1970,Vera,Gonzalez,,2024-10-16,WFH,Chennai,Wednesday
2183,Davis,Kaitlyn,,2024-10-16,WFH,Chennai,Wednesday
1959,Aidan,Marshall,,2024-10-16,WFH,Chennai,Wednesday
1958,Graham,Davis,,2024-10-16,WFH,Chennai,Wednesday
2182,Robinson,Hudson,,2024-10-16,WFH,Chennai,Wednesday
1936,Aiden,Morgan,,2024-10-16,WFH,Chennai,Wednesday
1935,Maya,Gordon,,2024-10-16,WFH,Chennai,Wednesday
1932,William,Scott,,2024-10-16,WFH,Chennai,Wednesday
1920,Isaac,Murphy,,2024-10-16,WFH,Chennai,Wednesday
1919,Carson,Ramirez,,2024-10-16,WFH,Chennai,Wednesday
1916,Chloe,Chavez,,2024-10-16,WFH,Chennai,Wednesday
1870,Liana,Harrison,,2024-10-16,WFH,Chennai,Wednesday
2192,Landon,Parker,,2024-10-16,WFH,Chennai,Wednesday
2042,Gabriel,Lee,,2024-10-16,WFH,Chennai,Wednesday
1996,Sophia,Cameron,,2024-10-16,WFH,Chennai,Wednesday
1998,Autumn,Gibson,,2024-10-16,WFH,Chennai,Wednesday
2008,Raegan,Smith,,2024-10-16,WFH,Chennai,Wednesday
2003,Eden,Thomas,,2024-10-16,WFH,Chennai,Wednesday
2000,Leo,Evans,,2024-10-16,WFH,Chennai,Wednesday
2186,Dylan,Allen,,2024-10-16,WFH,Chennai,Wednesday
2038,Mack,Robinson,,2024-10-16,WFH,Chennai,Wednesday
2037,Reagan,Taylor,,2024-10-16,WFH,Chennai,Wednesday
2034,Nash,Hawkins,,2024-10-16,WFH,Chennai,Wednesday
2032,Vera,Gonzalez,,2024-10-16,WFH,Chennai,Wednesday
2031,Eden,Anderson,,2024-10-16,WFH,Chennai,Wednesday
2185,Marez,Lily,,2024-10-16,WFH,Chennai,Wednesday
2029,Ellie,Grant,,2024-10-16,WFH,Chennai,Wednesday
2040,Ariana,Anderson,,2024-10-16,WFH,Chennai,Wednesday
2023,Stella,Anderson,,2024-10-16,WFH,Chennai,Wednesday
2021,Charlotte,Harrison,,2024-10-16,WFO,Chennai,Wednesday
2019,Felicity,Carter,,2024-10-16,WFH,Chennai,Wednesday
2016,Vivian,Long,,2024-10-16,WFH,Chennai,Wednesday
2014,Ryan,Duncan,,2024-10-16,WFH,Chennai,Wednesday
2011,Sage,Gibson,,2024-10-16,WFH,Chennai,Wednesday
2184,Walker,Gonzalez,,2024-10-16,WFH,Chennai,Wednesday
2025,Alexander,Bishop,,2024-10-16,WFH,Chennai,Wednesday
2011,Sage,Gibson,,2024-10-17,WFH,Chennai,Thursday
2014,Ryan,Duncan,,2024-10-17,WFH,Chennai,Thursday
2016,Vivian,Long,,2024-10-17,WFH,Chennai,Thursday
2019,Felicity,Carter,,2024-10-17,WFO,Chennai,Thursday
2021,Charlotte,Harrison,,2024-10-17,WFO,Chennai,Thursday
2023,Stella,Anderson,,2024-10-17,WFH,Chennai,Thursday
2040,Ariana,Anderson,,2024-10-17,WFH,Chennai,Thursday
2025,Alexander,Bishop,,2024-10-17,WFH,Chennai,Thursday
2032,Vera,Gonzalez,,2024-10-17,WFH,Chennai,Thursday
2185,Marez,Lily,,2024-10-17,WFH,Chennai,Thursday
2031,Eden,Anderson,,2024-10-17,WFH,Chennai,Thursday
2034,Nash,Hawkins,,2024-10-17,WFH,Chennai,Thursday
2037,Reagan,Taylor,,2024-10-17,WFH,Chennai,Thursday
2038,Mack,Robinson,,2024-10-17,WFH,Chennai,Thursday
2186,Dylan,Allen,,2024-10-17,WFH,Chennai,Thursday
2184,Walker,Gonzalez,,2024-10-17,WFH,Chennai,Thursday
2029,Ellie,Grant,,2024-10-17,WFH,Chennai,Thursday
2008,Raegan,Smith,,2024-10-17,WFH,Chennai,Thursday
1959,Aidan,Marshall,,2024-10-17,WFO,Chennai,Thursday
2000,Leo,Evans,,2024-10-17,WFO,Chennai,Thursday
2041,Luna,Curtis,,2024-10-17,WFH,Chennai,Thursday
1870,Liana,Harrison,,2024-10-17,WFO,Chennai,Thursday
1916,Chloe,Chavez,,2024-10-17,WFO,Chennai,Thursday
1919,Carson,Ramirez,,2024-10-17,WFH,Chennai,Thursday
1920,Isaac,Murphy,,2024-10-17,WFH,Chennai,Thursday
1932,William,Scott,,2024-10-17,WFH,Chennai,Thursday
1935,Maya,Gordon,,2024-10-17,WFH,Chennai,Thursday
1936,Aiden,Morgan,,2024-10-17,WFH,Chennai,Thursday
2182,Robinson,Hudson,,2024-10-17,WFH,Chennai,Thursday
1958,Graham,Davis,,2024-10-17,WFH,Chennai,Thursday
2183,Davis,Kaitlyn,,2024-10-17,WFH,Chennai,Thursday
1970,Vera,Gonzalez,,2024-10-17,WFO,Chennai,Thursday
1990,Cameron,Allen,,2024-10-17,WFH,Chennai,Thursday
1991,Vera,Rodriguez,,2024-10-17,WFO,Chennai,Thursday
1993,Leo,Cole,,2024-10-17,WFH,Chennai,Thursday
1996,Sophia,Cameron,,2024-10-17,WFH,Chennai,Thursday
1998,Autumn,Gibson,,2024-10-17,WFO,Chennai,Thursday
2003,Eden,Thomas,,2024-10-17,WFH,Chennai,Thursday
2192,Landon,Parker,,2024-10-17,WFH,Chennai,Thursday
2042,Gabriel,Lee,,2024-10-17,WFH,Chennai,Thursday
2044,Chloe,Moore,,2024-10-17,WFO,Chennai,Thursday
2091,Owen,Powell,,2024-10-17,WFO,Chennai,Thursday
2199,Reese,Kelly,,2024-10-17,WFO,Chennai,Thursday
2077,Violet,Rogers,,2024-10-17,WFH,Chennai,Thursday
2078,Emery,Moss,,2024-10-17,WFH,Chennai,Thursday
2079,Jack,Sanchez,,2024-10-17,WFO,Chennai,Thursday
2080,Matthew,Jackson,,2024-10-17,WFH,Chennai,Thursday
2081,Riley,Gordon,,2024-10-17,WFH,Chennai,Thursday
2082,Maya,Evans,,2024-10-17,WFH,Chennai,Thursday
2083,Levi,Warren,,2024-10-17,WFH,Chennai,Thursday
2084,Maya,Rodriguez,,2024-10-17,WFH,Chennai,Thursday
2189,Maya,Maya,,2024-10-17,WFO,Chennai,Thursday
2095,Luna,Gray,,2024-10-17,WFO,Chennai,Thursday
2086,Sebastian,Nelson,,2024-10-17,WFH,Chennai,Thursday
2088,Knox,Moore,,2024-10-17,WFH,Chennai,Thursday
2197,Parker,Russell,,2024-10-17,WFH,Chennai,Thursday
2190,Chang,Will,,2024-10-17,WFH,Chennai,Thursday
2043,Hannah,Hill,,2024-10-17,WFH,Chennai,Thursday
2076,Aidan,Williams,,2024-10-17,WFO,Chennai,Thursday
2075,Felicity,Jackson,,2024-10-17,WFO,Chennai,Thursday
2198,Taylor,Brooks,,2024-10-17,WFH,Chennai,Thursday
2071,Elise,Nelson,,2024-10-17,WFH,Chennai,Thursday
2074,Lydia,Grant,,2024-10-17,WFO,Chennai,Thursday
2046,Gavin,Moore,,2024-10-17,WFH,Chennai,Thursday
2187,Eden,Chang,,2024-10-17,WFH,Chennai,Thursday
2048,Eden,Allen,,2024-10-17,WFH,Chennai,Thursday
2049,Finn,Harrison,,2024-10-17,WFH,Chennai,Thursday
2050,Aidan,Scott,,2024-10-17,WFH,Chennai,Thursday
2051,Leo,Henderson,,2024-10-17,WFO,Chennai,Thursday
2052,Daniel,Murphy,,2024-10-17,WFH,Chennai,Thursday
2045,Adam,Douglas,,2024-10-17,WFH,Chennai,Thursday
2054,Quinn,Perry,,2024-10-17,WFH,Chennai,Thursday
2055,Aiden,Douglas,,2024-10-17,WFH,Chennai,Thursday
2062,Brooklyn,Howard,,2024-10-17,WFO,Chennai,Thursday
2064,Alana,Morris,,2024-10-17,WFO,Chennai,Thursday
2193,Paisley,Carter,,2024-10-17,WFO,Chennai,Thursday
2067,Zoey,Grant,,2024-10-17,WFO,Chennai,Thursday
2068,Charlie,Russell,,2024-10-17,WFO,Chennai,Thursday
2188,Cole,Gabriel,,2024-10-17,WFH,Chennai,Thursday
2070,Isaac,Alexander,,2024-10-17,WFO,Chennai,Thursday
2071,Elise,Nelson,,2024-10-18,WFH,Chennai,Friday
2070,Isaac,Alexander,,2024-10-18,WFH,Chennai,Friday
2068,Charlie,Russell,,2024-10-18,WFO,Chennai,Friday
2067,Zoey,Grant,,2024-10-18,WFO,Chennai,Friday
2193,Paisley,Carter,,2024-10-18,WFO,Chennai,Friday
2064,Alana,Morris,,2024-10-18,WFO,Chennai,Friday
2062,Brooklyn,Howard,,2024-10-18,WFO,Chennai,Friday
2052,Daniel,Murphy,,2024-10-18,WFH,Chennai,Friday
2054,Quinn,Perry,,2024-10-18,WFO,Chennai,Friday
2188,Cole,Gabriel,,2024-10-18,WFH,Chennai,Friday
2051,Leo,Henderson,,2024-10-18,WFO,Chennai,Friday
2050,Aidan,Scott,,2024-10-18,WFH,Chennai,Friday
2049,Finn,Harrison,,2024-10-18,WFO,Chennai,Friday
2048,Eden,Allen,,2024-10-18,WFH,Chennai,Friday
2074,Lydia,Grant,,2024-10-18,WFO,Chennai,Friday
2046,Gavin,Moore,,2024-10-18,WFH,Chennai,Friday
2055,Aiden,Douglas,,2024-10-18,WFO,Chennai,Friday
2187,Eden,Chang,,2024-10-18,WFH,Chennai,Friday
2081,Riley,Gordon,,2024-10-18,WFH,Chennai,Friday
2091,Owen,Powell,,2024-10-18,WFH,Chennai,Friday
2045,Adam,Douglas,,2024-10-18,WFO,Chennai,Friday
2198,Taylor,Brooks,,2024-10-18,WFH,Chennai,Friday
2190,Chang,Will,,2024-10-18,WFO,Chennai,Friday
2197,Parker,Russell,,2024-10-18,WFH,Chennai,Friday
2088,Knox,Moore,,2024-10-18,WFH,Chennai,Friday
2086,Sebastian,Nelson,,2024-10-18,WFH,Chennai,Friday
2095,Luna,Gray,,2024-10-18,WFO,Chennai,Friday
2076,Aidan,Williams,,2024-10-18,WFO,Chennai,Friday
2189,Maya,Maya,,2024-10-18,WFO,Chennai,Friday
2083,Levi,Warren,,2024-10-18,WFH,Chennai,Friday
2082,Maya,Evans,,2024-10-18,WFH,Chennai,Friday
2080,Matthew,Jackson,,2024-10-18,WFO,Chennai,Friday
2079,Jack,Sanchez,,2024-10-18,WFO,Chennai,Friday
2078,Emery,Moss,,2024-10-18,WFO,Chennai,Friday
2077,Violet,Rogers,,2024-10-18,WFH,Chennai,Friday
2199,Reese,Kelly,,2024-10-18,WFO,Chennai,Friday
2084,Maya,Rodriguez,,2024-10-18,WFO,Chennai,Friday
2043,Hannah,Hill,,2024-10-18,WFH,Chennai,Friday
2075,Felicity,Jackson,,2024-10-18,WFH,Chennai,Friday
2041,Luna,Curtis,,2024-10-18,WFH,Chennai,Friday
1993,Leo,Cole,,2024-10-18,WFO,Chennai,Friday
1991,Vera,Rodriguez,,2024-10-18,WFO,Chennai,Friday
1990,Cameron,Allen,,2024-10-18,WFH,Chennai,Friday
1970,Vera,Gonzalez,,2024-10-18,WFH,Chennai,Friday
2183,Davis,Kaitlyn,,2024-10-18,WFH,Chennai,Friday
1959,Aidan,Marshall,,2024-10-18,WFO,Chennai,Friday
1958,Graham,Davis,,2024-10-18,WFH,Chennai,Friday
2182,Robinson,Hudson,,2024-10-18,WFH,Chennai,Friday
1936,Aiden,Morgan,,2024-10-18,WFH,Chennai,Friday
1935,Maya,Gordon,,2024-10-18,WFH,Chennai,Friday
1932,William,Scott,,2024-10-18,WFH,Chennai,Friday
1920,Isaac,Murphy,,2024-10-18,WFH,Chennai,Friday
1919,Carson,Ramirez,,2024-10-18,WFH,Chennai,Friday
1916,Chloe,Chavez,,2024-10-18,WFH,Chennai,Friday
1870,Liana,Harrison,,2024-10-18,WFH,Chennai,Friday
2192,Landon,Parker,,2024-10-18,WFH,Chennai,Friday
2042,Gabriel,Lee,,2024-10-18,WFO,Chennai,Friday
1996,Sophia,Cameron,,2024-10-18,WFO,Chennai,Friday
1998,Autumn,Gibson,,2024-10-18,WFH,Chennai,Friday
2044,Chloe,Moore,,2024-10-18,WFO,Chennai,Friday
2003,Eden,Thomas,,2024-10-18,WFO,Chennai,Friday
2000,Leo,Evans,,2024-10-18,WFO,Chennai,Friday
2040,Ariana,Anderson,,2024-10-18,WFH,Chennai,Friday
2186,Dylan,Allen,,2024-10-18,WFH,Chennai,Friday
2038,Mack,Robinson,,2024-10-18,WFH,Chennai,Friday
2037,Reagan,Taylor,,2024-10-18,WFH,Chennai,Friday
2034,Nash,Hawkins,,2024-10-18,WFO,Chennai,Friday
2031,Eden,Anderson,,2024-10-18,WFH,Chennai,Friday
2185,Marez,Lily,,2024-10-18,WFH,Chennai,Friday
2029,Ellie,Grant,,2024-10-18,WFH,Chennai,Friday
2032,Vera,Gonzalez,,2024-10-18,WFH,Chennai,Friday
2023,Stella,Anderson,,2024-10-18,WFH,Chennai,Friday
2021,Charlotte,Harrison,,2024-10-18,WFO,Chennai,Friday
2019,Felicity,Carter,,2024-10-18,WFO,Chennai,Friday
2016,Vivian,Long,,2024-10-18,WFH,Chennai,Friday
2014,Ryan,Duncan,,2024-10-18,WFO,Chennai,Friday
2011,Sage,Gibson,,2024-10-18,WFO,Chennai,Friday
2184,Walker,Gonzalez,,2024-10-18,WFO,Chennai,Friday
2008,Raegan,Smith,,2024-10-18,WFH,Chennai,Friday
2025,Alexander,Bishop,,2024-10-18,WFH,Chennai,Friday
2062,Brooklyn,Howard,,2024-10-21,WFO,Chennai,Monday
2070,Isaac,Alexander,,2024-10-21,WFO,Chennai,Monday
2068,Charlie,Russell,,2024-10-21,WFO,Chennai,Monday
2067,Zoey,Grant,,2024-10-21,WFO,Chennai,Monday
2193,Paisley,Carter,,2024-10-21,WFH,Chennai,Monday
2064,Alana,Morris,,2024-10-21,WFO,Chennai,Monday
2055,Aiden,Douglas,,2024-10-21,WFO,Chennai,Monday
2046,Gavin,Moore,,2024-10-21,WFO,Chennai,Monday
2188,Cole,Gabriel,,2024-10-21,WFO,Chennai,Monday
2052,Daniel,Murphy,,2024-10-21,WFO,Chennai,Monday
2051,Leo,Henderson,,2024-10-21,WFO,Chennai,Monday
2050,Aidan,Scott,,2024-10-21,WFH,Chennai,Monday
2049,Finn,Harrison,,2024-10-21,WFO,Chennai,Monday
2048,Eden,Allen,,2024-10-21,WFO,Chennai,Monday
2187,Eden,Chang,,2024-10-21,WFO,Chennai,Monday
2054,Quinn,Perry,,2024-10-21,WFO,Chennai,Monday
2071,Elise,Nelson,,2024-10-21,WFH,Chennai,Monday
2081,Riley,Gordon,,2024-10-21,WFO,Chennai,Monday
2075,Felicity,Jackson,,2024-10-21,WFO,Chennai,Monday
2198,Taylor,Brooks,,2024-10-21,WFH,Chennai,Monday
2190,Chang,Will,,2024-10-21,WFH,Chennai,Monday
2197,Parker,Russell,,2024-10-21,WFH,Chennai,Monday
2088,Knox,Moore,,2024-10-21,WFH,Chennai,Monday
2086,Sebastian,Nelson,,2024-10-21,WFH,Chennai,Monday
2095,Luna,Gray,,2024-10-21,WFO,Chennai,Monday
2189,Maya,Maya,,2024-10-21,WFH,Chennai,Monday
2084,Maya,Rodriguez,,2024-10-21,WFO,Chennai,Monday
2083,Levi,Warren,,2024-10-21,WFO,Chennai,Monday
2082,Maya,Evans,,2024-10-21,WFO,Chennai,Monday
2045,Adam,Douglas,,2024-10-21,WFO,Chennai,Monday
2080,Matthew,Jackson,,2024-10-21,WFH,Chennai,Monday
2079,Jack,Sanchez,,2024-10-21,WFO,Chennai,Monday
2077,Violet,Rogers,,2024-10-21,WFO,Chennai,Monday
2199,Reese,Kelly,,2024-10-21,WFO,Chennai,Monday
2091,Owen,Powell,,2024-10-21,WFO,Chennai,Monday
2076,Aidan,Williams,,2024-10-21,WFO,Chennai,Monday
2074,Lydia,Grant,,2024-10-21,WFO,Chennai,Monday
2044,Chloe,Moore,,2024-10-21,WFO,Chennai,Monday
2031,Eden,Anderson,,2024-10-21,WFH,Chennai,Monday
2042,Gabriel,Lee,,2024-10-21,WFO,Chennai,Monday
1993,Leo,Cole,,2024-10-21,WFH,Chennai,Monday
1991,Vera,Rodriguez,,2024-10-21,WFO,Chennai,Monday
1990,Cameron,Allen,,2024-10-21,WFH,Chennai,Monday
1970,Vera,Gonzalez,,2024-10-21,WFO,Chennai,Monday
2183,Davis,Kaitlyn,,2024-10-21,WFH,Chennai,Monday
1959,Aidan,Marshall,,2024-10-21,WFO,Chennai,Monday
1958,Graham,Davis,,2024-10-21,WFH,Chennai,Monday
1996,Sophia,Cameron,,2024-10-21,WFO,Chennai,Monday
2182,Robinson,Hudson,,2024-10-21,WFH,Chennai,Monday
1935,Maya,Gordon,,2024-10-21,WFO,Chennai,Monday
1932,William,Scott,,2024-10-21,WFH,Chennai,Monday
1920,Isaac,Murphy,,2024-10-21,WFH,Chennai,Monday
1919,Carson,Ramirez,,2024-10-21,WFH,Chennai,Monday
1916,Chloe,Chavez,,2024-10-21,WFO,Chennai,Monday
1870,Liana,Harrison,,2024-10-21,WFO,Chennai,Monday
2192,Landon,Parker,,2024-10-21,WFH,Chennai,Monday
1936,Aiden,Morgan,,2024-10-21,WFH,Chennai,Monday
1998,Autumn,Gibson,,2024-10-21,WFO,Chennai,Monday
2000,Leo,Evans,,2024-10-21,WFO,Chennai,Monday
2003,Eden,Thomas,,2024-10-21,WFH,Chennai,Monday
2041,Luna,Curtis,,2024-10-21,WFH,Chennai,Monday
2040,Ariana,Anderson,,2024-10-21,WFH,Chennai,Monday
2186,Dylan,Allen,,2024-10-21,WFH,Chennai,Monday
2038,Mack,Robinson,,2024-10-21,WFO,Chennai,Monday
2037,Reagan,Taylor,,2024-10-21,WFO,Chennai,Monday
2034,Nash,Hawkins,,2024-10-21,WFO,Chennai,Monday
2032,Vera,Gonzalez,,2024-10-21,WFH,Chennai,Monday
2185,Marez,Lily,,2024-10-21,WFH,Chennai,Monday
2029,Ellie,Grant,,2024-10-21,WFH,Chennai,Monday
2025,Alexander,Bishop,,2024-10-21,WFH,Chennai,Monday
2023,Stella,Anderson,,2024-10-21,WFH,Chennai,Monday
2021,Charlotte,Harrison,,2024-10-21,WFH,Chennai,Monday
2019,Felicity,Carter,,2024-10-21,WFO,Chennai,Monday
2016,Vivian,Long,,2024-10-21,WFH,Chennai,Monday
2014,Ryan,Duncan,,2024-10-21,WFH,Chennai,Monday
2011,Sage,Gibson,,2024-10-21,WFH,Chennai,Monday
2184,Walker,Gonzalez,,2024-10-21,WFH,Chennai,Monday
2043,Hannah,Hill,,2024-10-21,WFO,Chennai,Monday
2008,Raegan,Smith,,2024-10-21,WFO,Chennai,Monday
2078,Emery,Moss,,2024-10-21,WFO,Chennai,Monday
2052,Daniel,Murphy,,2024-10-22,WFO,Chennai,Tuesday
2188,Cole,Gabriel,,2024-10-22,WFO,Chennai,Tuesday
2054,Quinn,Perry,,2024-10-22,WFO,Chennai,Tuesday
2055,Aiden,Douglas,,2024-10-22,WFO,Chennai,Tuesday
2062,Brooklyn,Howard,,2024-10-22,WFO,Chennai,Tuesday
2064,Alana,Morris,,2024-10-22,WFO,Chennai,Tuesday
